CustomerID,Recency,Frequency,Monetary,AvgOrderValue
12950,2,3,1843.0,80.13
12951,9,6,1064.07,16.89
12952,6,4,1387.79,17.57
12953,10,1,329.85,19.4
12955,1,11,4757.16,26.43
12956,306,1,108.07,5.69
12957,10,8,4017.54,16.88
12962,7,2,266.39,16.65
12963,8,8,1856.63,19.54
12965,89,1,769.81,7.13
12966,10,1,160.18,16.02
12967,358,2,1660.9,87.42
12968,112,1,135.95,27.19
12970,7,4,405.47,3.14
12971,4,86,11189.91,36.69
12974,198,1,144.8,18.1
12976,212,1,738.6,33.57
12977,156,1,39.24,4.36
12980,158,9,7374.9,368.74
12981,30,2,372.22,18.61
12982,243,1,390.54,13.95
12984,19,1,97.5,24.38
12985,1,2,1239.38,16.31
12987,74,2,558.7,19.95
12988,292,1,505.82,6.09
12989,3,15,6924.11,108.19
12990,31,3,409.5,31.5
12991,23,2,503.76,16.25
12993,23,4,414.76,15.36
12994,4,3,974.42,15.97
12995,85,1,211.32,70.44
12997,22,4,1226.89,20.79
12999,196,3,455.88,16.28
13000,107,3,534.85,17.25
13001,4,13,9785.97,29.04
13002,318,1,120.95,17.28
13003,106,3,149.05,24.84
13004,12,18,5655.91,14.0
13005,174,2,513.7,19.76
13006,56,1,81.57,20.39
13008,323,1,229.47,16.39
13011,372,1,50.55,16.85
13012,9,8,1646.84,18.71
13013,1,13,4810.94,21.97
13014,11,10,3466.28,31.8
13015,53,5,3339.64,19.08
13016,73,3,789.89,16.81
13017,7,1,204.0,204.0
13018,16,28,7277.7,15.89
13021,4,9,2616.38,19.97
13023,64,2,689.9,17.25
13026,1,5,975.36,24.38
13027,114,6,6912.0,265.85
13028,23,2,661.32,14.7
13029,31,3,1247.5,124.75
13030,11,2,752.44,8.18
13032,52,2,1010.18,14.23
13033,357,1,190.55,17.32
13034,55,2,642.77,17.37
13035,74,2,921.88,34.14
13037,138,3,881.07,18.36
13038,80,3,908.46,32.44
13040,9,2,676.99,15.74
13043,273,1,516.42,39.72
13044,291,1,560.47,16.98
13045,99,1,305.28,16.96
13046,31,2,629.31,17.98
13047,32,10,3237.54,18.82
13048,14,4,1819.41,13.48
13049,64,2,656.68,46.91
13050,15,17,5836.86,14.48
13052,212,1,348.15,19.34
13055,78,3,1214.41,15.98
13058,25,3,271.4,33.93
13059,250,1,183.4,22.92
13060,254,1,307.53,20.5
13061,72,1,248.61,24.86
13062,191,1,346.98,31.54
13064,13,4,1105.59,16.26
13065,373,1,205.86,14.7
13066,24,2,470.8,9.81
13067,82,1,115.46,7.7
13068,10,2,344.0,172.0
13069,1,24,4431.44,10.45
13070,192,1,228.8,25.42
13072,267,1,177.15,25.31
13075,130,1,919.61,41.8
13077,1,4,728.02,6.56
13078,3,26,12627.94,35.27
13079,4,5,220.1,36.68
13080,179,1,58.08,9.68
13081,12,11,28337.38,27.67
13082,126,9,3613.63,49.5
13083,4,2,303.75,16.88
13085,158,2,416.08,18.91
13089,3,97,58762.08,32.39
13090,9,14,8910.82,57.49
13091,28,1,345.82,16.47
13092,71,5,477.83,19.11
13093,276,8,7832.47,49.26
13094,21,12,1927.32,80.3
13095,71,1,74.4,12.4
13097,33,10,6003.22,14.26
13098,1,28,28882.44,50.49
13099,99,1,207.36,207.36
13101,234,1,101.19,12.65
13102,1,24,6424.09,21.13
13103,40,1,243.94,30.49
13104,3,6,1098.48,54.92
13106,133,1,76.5,76.5
13107,44,4,1531.62,26.41
13108,373,1,350.06,35.01
13109,60,2,786.54,16.73
13110,31,7,1488.67,10.27
13113,1,24,12245.96,61.23
13115,12,4,2294.78,19.12
13116,138,1,501.14,16.7
13117,22,8,984.91,12.96
13118,20,5,1197.81,15.16
13120,239,1,30.6,30.6
13121,269,1,283.73,5.67
13122,94,2,922.39,16.77
13124,90,3,3756.33,16.92
13126,5,8,2099.64,15.0
13127,78,1,259.17,17.28
13130,94,1,64.0,32.0
13131,23,3,1073.3,24.39
13132,262,1,77.3,25.77
13133,274,2,109.8,15.69
13134,86,4,1793.58,18.3
13135,197,1,3096.0,3096.0
13136,56,5,2607.61,20.53
13137,11,8,3603.29,5.24
13138,22,6,962.39,15.28
13139,16,7,5064.94,29.79
13140,108,3,422.47,9.39
13141,85,5,2388.75,17.69
13142,19,1,307.09,13.35
13144,333,1,110.95,36.98
13145,40,4,618.52,103.09
13146,26,1,228.91,13.47
13147,10,4,712.8,178.2
13148,29,12,3683.26,11.81
13149,14,4,1676.06,19.49
13151,296,1,1257.87,17.0
13153,6,1,486.22,32.41
13155,33,4,971.76,11.43
13157,49,4,1741.22,20.01
13158,95,4,1201.06,15.2
13159,9,4,1429.35,11.91
13160,22,1,91.8,22.95
13161,313,1,112.75,14.09
13162,122,4,1688.29,21.37
13165,46,2,1021.48,24.32
13166,283,1,417.2,10.18
13167,19,4,791.33,12.17
13168,36,4,1299.59,10.31
13169,64,2,712.88,54.84
13170,27,1,108.81,3.63
13171,22,3,468.41,10.18
13173,4,2,353.65,8.22
13174,16,3,2742.82,9.36
13176,46,1,481.49,7.19
13177,65,1,282.45,16.61
13178,26,11,5725.47,21.61
13182,45,1,121.18,11.02
13183,8,9,3957.78,42.1
13184,15,10,1668.95,9.32
13185,268,1,71.4,71.4
13186,40,3,1575.89,19.95
13187,337,1,236.02,6.38
13188,11,1,114.6,57.3
13189,19,2,260.68,8.99
13192,95,2,911.94,14.48
13193,61,1,112.08,4.48
13194,136,1,60.7,20.23
13196,11,4,1797.78,16.34
13198,10,6,3401.24,15.05
13199,4,38,9817.12,82.5
13200,19,4,870.09,18.92
13203,10,4,869.46,15.25
13207,15,2,250.26,31.28
13208,59,6,1217.65,8.23
13209,30,8,5891.61,18.35
13210,94,1,353.48,16.07
13211,10,3,1095.42,19.92
13212,20,3,786.83,5.58
13213,57,5,1520.58,16.9
13216,268,1,333.74,66.75
13217,122,3,533.98,133.5
13218,127,1,62.64,12.53
13220,78,4,819.29,39.01
13221,240,2,847.41,12.84
13223,200,2,163.2,32.64
13224,60,2,2155.95,19.96
13225,3,7,6463.84,202.0
13226,273,1,108.21,6.76
13227,202,1,257.7,28.63
13228,81,1,358.0,179.0
13229,226,1,160.95,16.1
13230,4,14,2755.63,4.69
13232,13,7,1328.35,6.58
13233,74,2,605.12,14.07
13235,212,1,1031.07,17.78
13236,25,2,744.85,20.69
13238,17,4,700.73,22.6
13239,262,1,329.56,15.69
13240,96,4,663.65,9.91
13242,112,3,270.4,20.8
13243,203,1,585.12,10.27
13244,93,1,121.74,4.51
13245,51,1,430.5,26.91
13246,18,6,1961.52,14.42
13247,18,4,501.12,20.04
13248,125,2,465.68,17.91
13249,92,3,711.41,30.93
13253,157,2,1030.4,28.62
13255,9,2,399.51,30.73
13258,12,3,672.83,18.69
13259,62,1,283.18,3.5
13260,61,1,557.62,69.7
13261,269,2,944.1,104.9
13262,263,1,200.29,18.21
13263,1,35,7436.93,4.46
13265,53,5,2092.66,23.25
13266,11,12,3834.26,20.5
13267,3,19,4521.49,21.43
13268,18,11,3174.75,7.33
13269,1,15,5343.28,16.96
13270,366,1,590.0,590.0
13271,37,1,211.49,2.43
13272,31,2,276.56,18.44
13273,113,1,138.98,8.69
13276,64,2,590.93,19.7
13277,16,4,258.4,32.3
13278,41,1,542.73,11.8
13279,78,1,137.75,15.31
13280,122,3,798.46,9.74
13282,18,3,1132.14,30.6
13283,60,2,93.66,13.38
13284,331,1,201.19,15.48
13285,23,4,2709.12,14.49
13291,156,1,361.11,8.6
13292,39,2,578.94,18.68
13294,190,2,873.74,16.18
13295,360,1,201.2,20.12
13296,137,1,87.4,17.48
13297,8,4,2089.85,35.42
13298,1,1,360.0,180.0
13299,268,1,142.5,28.5
13300,169,1,371.89,18.59
13301,104,4,618.09,7.63
13302,155,1,63.75,63.75
13304,351,1,300.42,14.31
13305,4,10,2000.86,24.7
13307,120,1,15.0,15.0
13308,23,3,1385.51,25.66
13309,7,5,1456.79,13.61
13310,28,3,1132.03,15.72
13311,4,2,598.57,23.02
13313,22,5,1555.32,19.94
13314,2,3,775.94,12.52
13316,37,4,5732.93,66.66
13317,66,6,2273.68,18.34
13318,1,3,640.76,32.04
13319,5,26,10845.55,22.78
13320,78,4,1532.2,14.59
13321,72,2,567.36,51.58
13322,17,1,199.48,7.98
13323,3,5,787.85,37.52
13324,36,10,7121.95,94.96
13325,82,1,675.3,56.28
13327,39,8,3627.77,33.59
13328,316,1,1308.48,76.97
13329,32,2,789.0,46.41
13330,93,3,1140.93,21.53
13332,14,1,350.9,16.71
13334,82,3,3502.32,13.22
13336,77,1,795.12,15.59
13338,158,1,487.02,25.63
13339,201,1,860.12,15.93
13340,45,7,10736.48,80.12
13341,261,1,775.85,18.47
13343,178,1,353.43,18.6
13344,68,3,2511.69,21.65
13345,288,1,389.5,19.48
13347,70,1,341.36,42.67
13348,64,1,233.76,16.7
13349,11,1,247.32,15.46
13350,16,2,979.12,24.48
13351,66,1,373.94,23.37
13352,60,1,397.98,16.58
13354,71,1,743.53,14.58
13355,122,1,674.7,21.08
13356,80,1,768.24,18.29
13357,257,1,609.4,6.85
13358,269,1,439.03,15.14
13359,64,1,439.56,19.11
13362,9,4,3090.74,18.62
13363,18,2,992.5,16.54
13364,71,1,134.96,13.5
13365,34,2,2225.37,17.39
13366,50,1,56.16,56.16
13368,257,2,623.4,21.5
13369,366,1,308.28,22.02
13370,372,1,754.87,19.36
13372,90,1,378.64,16.46
13373,61,3,3312.25,20.96
13375,89,1,778.65,21.04
13376,99,3,1019.76,19.24
13379,26,3,572.56,5.9
13381,32,6,3639.31,21.16
13382,281,1,222.99,14.87
13384,31,7,4151.93,27.32
13385,330,1,534.57,15.27
13388,131,2,677.1,19.35
13389,11,3,797.96,15.65
13390,75,1,544.08,41.85
13391,204,1,59.8,59.8
13394,2,8,2520.02,16.26
13395,185,1,307.72,14.65
13396,29,2,1360.99,31.65
13397,73,5,1544.13,40.64
13398,192,1,457.34,17.59
13402,127,2,621.23,15.93
13403,18,1,75.0,25.0
13404,1,2,252.49,22.95
13405,74,3,572.45,21.2
13408,2,62,28117.04,58.82
13410,24,5,1003.06,35.82
13411,107,1,213.55,11.86
13414,134,3,1390.5,57.94
13416,44,2,712.5,37.5
13417,5,2,640.83,22.89
13418,12,18,6127.43,20.16
13419,64,1,221.06,13.82
13420,150,2,159.85,19.98
13421,40,2,1833.71,17.98
13422,64,1,2626.3,20.68
13425,108,3,1624.21,20.82
13426,1,10,3641.32,23.19
13427,19,3,582.6,20.09
13428,10,1,201.78,2.84
13429,11,4,1006.8,15.03
13430,19,2,679.45,13.87
13431,67,2,1269.1,27.59
13434,74,2,534.24,53.42
13435,5,7,3809.89,37.72
13436,2,1,196.89,16.41
13437,14,7,3408.06,20.41
13439,255,1,283.71,5.25
13441,92,1,296.64,22.82
13447,23,3,1129.14,19.14
13448,17,6,3534.69,18.22
13449,24,1,291.88,15.36
13450,27,6,2043.72,28.78
13451,26,5,2898.26,6.69
13452,259,2,590.0,295.0
13453,166,2,356.98,21.0
13455,25,2,1058.34,23.01
13456,18,6,1766.72,28.04
13458,7,14,9646.57,25.25
13460,29,2,183.44,10.79
13461,39,3,1445.0,53.52
13462,253,1,151.5,16.83
13464,58,1,674.68,16.46
13466,184,1,307.9,18.11
13467,11,2,1071.91,10.94
13468,2,37,5704.97,18.89
13470,99,2,165.0,16.5
13471,1,4,2501.84,9.85
13473,61,2,422.64,20.13
13474,236,1,226.84,3.66
13475,191,4,1431.78,16.65
13476,179,2,1238.47,21.35
13477,38,6,1454.58,18.41
13479,201,2,300.95,20.06
13481,46,5,1804.56,16.56
13482,232,1,184.64,16.79
13483,66,1,140.34,14.03
13484,241,1,313.8,39.22
13485,233,1,454.24,19.75
13486,78,3,1122.41,16.27
13487,58,3,575.4,16.92
13488,17,13,8968.31,21.25
13489,105,4,449.52,32.11
13491,52,10,1215.82,14.14
13492,136,3,1269.84,25.4
13493,275,2,618.63,77.33
13494,312,1,316.26,17.57
13495,8,5,2044.87,42.6
13496,11,2,653.33,18.67
13497,283,2,348.05,18.32
13499,18,5,1159.11,27.6
13500,23,3,1166.77,17.95
13501,288,1,1340.32,25.78
13502,17,3,292.0,16.22
13503,71,1,216.85,12.76
13504,64,1,295.93,13.45
13505,73,4,4393.63,20.44
13506,316,2,458.52,17.64
13507,3,4,2479.16,15.3
13508,244,1,110.97,9.25
13509,9,7,979.72,22.27
13510,1,4,1791.56,15.58
13512,261,1,251.21,16.75
13513,127,1,205.1,20.51
13514,74,1,152.2,38.05
13515,73,4,891.12,15.1
13516,21,3,1389.41,31.58
13517,60,3,2128.42,15.1
13518,86,1,627.16,17.42
13519,78,1,122.75,15.34
13520,59,6,3624.35,38.97
13521,1,3,1071.73,2.56
13522,30,1,125.8,25.16
13523,33,5,3964.88,23.05
13524,41,5,680.18,25.19
13525,15,2,628.78,104.8
13527,34,7,2242.36,10.33
13529,79,2,307.76,20.52
13531,205,2,483.8,21.99
13532,34,1,210.31,3.19
13533,183,3,269.09,3.59
13534,2,25,5870.08,19.83
13536,1,7,3444.39,19.35
13538,43,7,1280.85,51.23
13539,86,3,631.34,17.06
13544,40,2,276.06,3.54
13546,12,3,621.09,6.4
13548,96,2,678.16,5.51
13549,26,7,918.2,18.0
13551,319,1,91.8,22.95
13552,66,12,3740.07,34.31
13555,74,4,4098.88,30.36
